Thu May 15 19:54:47 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/run.prof

         1410713 function calls (1379404 primitive calls) in 1.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 dataset.py:57(main)
        2    0.000    0.000    0.012    0.006 base.py:1372(wrapper)
        3    0.000    0.000    0.012    0.004 datetimes.py:1(<module>)
  616/448    0.000    0.000    0.012    0.000 typing.py:500(__getitem__)
      439    0.007    0.000    0.012    0.000 doccer.py:231(indentcount_lines)
     2572    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.012    0.012 predict.py:21(evaluate_lr_model)
      132    0.001    0.000    0.011    0.000 _distn_infrastructure.py:740(_construct_argparser)
      315    0.000    0.000    0.011    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.011    0.011 train.py:83(fit_lr_model)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _logistic.py:1163(fit)
        1    0.000    0.000    0.011    0.011 reusable_executor.py:1(<module>)
      442    0.001    0.000    0.011    0.000 typing.py:679(Union)
        1    0.000    0.000    0.011    0.011 _svds.py:1(<module>)
        2    0.000    0.000    0.011    0.005 overrides.py:1(<module>)
     1187    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
      110    0.001    0.000    0.010    0.000 _metadata_requests.py:1359(__init_subclass__)
        1    0.000    0.000    0.010    0.010 process_executor.py:1(<module>)
      927    0.002    0.000    0.010    0.000 typing.py:1376(__init__)
        1    0.000    0.000    0.010    0.010 _passive_aggressive.py:1(<module>)
       21    0.000    0.000    0.010    0.000 _distn_infrastructure.py:3292(__init__)
        1    0.000    0.000    0.010    0.010 plugin.py:1(<module>)
      143    0.001    0.000    0.010    0.000 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.010    0.010 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _fitpack_py.py:1(<module>)
        1    0.000    0.000    0.010    0.010 parallel.py:54(__call__)
        1    0.000    0.000    0.010    0.010 parallel.py:1968(__call__)
        1    0.000    0.000    0.010    0.010 _distribution_infrastructure.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _root.py:1(<module>)
        3    0.000    0.000    0.010    0.003 parallel.py:1887(_get_sequential_output)
        1    0.000    0.000    0.010    0.010 parallel.py:125(__call__)
        2    0.000    0.000    0.010    0.005 format.py:1(<module>)
        1    0.000    0.000    0.010    0.010 distance.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _logistic.py:99(_logistic_regression_path)
      110    0.001    0.000    0.010    0.000 _metadata_requests.py:1435(_get_default_requests)
        1    0.000    0.000    0.009    0.009 _stochastic_gradient.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _new_distributions.py:1(<module>)
       50    0.000    0.000    0.009    0.000 dataclasses.py:1204(dataclass)
      270    0.001    0.000    0.009    0.000 _decorators.py:363(decorator)
        2    0.000    0.000    0.009    0.005 _misc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _file_sink.py:1(<module>)
        5    0.000    0.000    0.009    0.002 readers.py:868(read_csv)
        2    0.000    0.000    0.009    0.005 reduction.py:1(<module>)
        2    0.000    0.000    0.009    0.005 _distribution_infrastructure.py:1256(_combine_docs)
      126    0.001    0.000    0.009    0.000 validation.py:736(check_array)
     2783    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.009    0.009 _ode.py:1(<module>)
        5    0.000    0.000    0.009    0.002 readers.py:583(_read)
        2    0.000    0.000    0.009    0.004 _filters.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _svdp.py:1(<module>)
        3    0.000    0.000    0.009    0.003 generic.py:3797(to_csv)
        1    0.000    0.000    0.009    0.009 _json.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ewm.py:1(<module>)
        3    0.000    0.000    0.009    0.003 format.py:965(to_csv)
        1    0.000    0.000    0.009    0.009 describe.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _minimize.py:53(minimize)
        1    0.000    0.000    0.008    0.008 _lbfgsb_py.py:290(_minimize_lbfgsb)
        1    0.000    0.000    0.008    0.008 series.py:1(<module>)
      153    0.005    0.000    0.008    0.000 inspect.py:863(cleandoc)
     1497    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.008    0.008 parse_link_label.py:1(<module>)
      169    0.000    0.000    0.008    0.000 dataclasses.py:413(_create_fn)
        3    0.000    0.000    0.008    0.003 csvs.py:246(save)
        1    0.000    0.000    0.008    0.008 glm.py:1(<module>)
      143    0.000    0.000    0.008    0.000 _decorators.py:484(__call__)
     1993    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
104226/104213    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 qmc.py:1(<module>)
     1886    0.003    0.000    0.008    0.000 _docscrape.py:67(read_to_condition)
        1    0.000    0.000    0.008    0.008 _minpack_py.py:1(<module>)
        1    0.000    0.000    0.008    0.008 algorithms.py:1(<module>)
     2145    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.008    0.008 _rgi.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _qmc.py:1(<module>)
        3    0.000    0.000    0.007    0.002 csvs.py:272(_save)
        2    0.000    0.000    0.007    0.004 _matfuncs.py:1(<module>)
        3    0.000    0.000    0.007    0.002 csvs.py:305(_save_body)
     1100    0.001    0.000    0.007    0.000 _metadata_requests.py:1397(_build_request_for_signature)
        2    0.000    0.000    0.007    0.004 datetimelike.py:1(<module>)
       53    0.000    0.000    0.007    0.000 enum.py:499(__new__)
        3    0.002    0.001    0.007    0.002 csvs.py:315(_save_chunk)
      132    0.000    0.000    0.007    0.000 _distn_infrastructure.py:726(_attach_argparser_methods)
  157/151    0.001    0.000    0.007    0.000 series.py:389(__init__)
        5    0.000    0.000    0.007    0.001 readers.py:1907(read)
      111    0.000    0.000    0.007    0.000 _distn_infrastructure.py:1906(_attach_methods)
        1    0.000    0.000    0.007    0.007 _multivariate.py:1(<module>)
     1411    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
        1    0.000    0.000    0.007    0.007 _parallel_backends.py:1(<module>)
      143    0.003    0.000    0.007    0.000 __init__.py:350(namedtuple)
     1591    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.007    0.003 align.py:1(<module>)
        8    0.000    0.000    0.007    0.001 common.py:1(<module>)
131197/127740    0.006    0.000    0.007    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.007    0.007 arpack.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _fitpack_impl.py:1(<module>)
        4    0.000    0.000    0.006    0.002 _docscrape.py:626(__init__)
        1    0.000    0.000    0.006    0.006 _logger.py:243(add)
     1483    0.003    0.000    0.006    0.000 _docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
    38/37    0.000    0.000    0.006    0.000 sysconfig.py:621(get_path)
    38/37    0.000    0.000    0.006    0.000 sysconfig.py:609(get_paths)
        1    0.000    0.000    0.006    0.006 _classification.py:2535(classification_report)
    38/37    0.000    0.000    0.006    0.000 sysconfig.py:261(_expand_vars)
      346    0.006    0.000    0.006    0.000 {built-in method builtins.eval}
      150    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
36797/36293    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:143(__init__)
        1    0.000    0.000    0.006    0.006 constrain.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:169(_get_lib_dirs)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:173(<setcomp>)
       11    0.000    0.000    0.006    0.001 _classification.py:70(_check_targets)
        2    0.000    0.000    0.006    0.003 dataset.py:14(load_data)
        1    0.000    0.000    0.006    0.006 _psosx.py:1(<module>)
      660    0.000    0.000    0.006    0.000 _docscrape.py:573(dedent_lines)
      132    0.000    0.000    0.006    0.000 _distn_infrastructure.py:674(__init__)
      924    0.000    0.000    0.006    0.000 __init__.py:178(sub)
      234    0.000    0.000    0.006    0.000 _optimize.py:71(_compute_if_needed)
      118    0.000    0.000    0.006    0.000 _differentiable_functions.py:293(_update_fun)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
      117    0.000    0.000    0.006    0.000 _differentiable_functions.py:16(wrapped)
     1783    0.002    0.000    0.006    0.000 typing.py:168(_type_check)
     1585    0.004    0.000    0.006    0.000 inspect.py:2955(__init__)
        1    0.000    0.000    0.006    0.006 predict.py:48(generate_feature_importance)
        1    0.000    0.000    0.006    0.006 testing.py:1(<module>)
      219    0.001    0.000    0.006    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.006    0.006 lapack.py:1(<module>)
        2    0.000    0.000    0.006    0.003 dtypes.py:1(<module>)
       21    0.000    0.000    0.005    0.000 _distn_infrastructure.py:3353(_construct_docstrings)
