Thu May 15 19:49:52 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/train.prof

         1350575 function calls (1320336 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 _logistic.py:1163(fit)
        2    0.000    0.000    0.012    0.006 context.py:1(<module>)
     2564    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      439    0.007    0.000    0.011    0.000 doccer.py:231(indentcount_lines)
        1    0.000    0.000    0.011    0.011 _file_sink.py:1(<module>)
      315    0.000    0.000    0.011    0.000 <frozen abc>:105(__new__)
      444    0.001    0.000    0.011    0.000 typing.py:679(Union)
     1187    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.011    0.011 _svds.py:1(<module>)
    10527    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.011    0.011 parallel.py:54(__call__)
        1    0.000    0.000    0.011    0.011 parallel.py:1968(__call__)
        3    0.000    0.000    0.011    0.004 parallel.py:1887(_get_sequential_output)
      929    0.002    0.000    0.011    0.000 typing.py:1376(__init__)
        1    0.000    0.000    0.011    0.011 parallel.py:125(__call__)
        1    0.000    0.000    0.010    0.010 _logistic.py:99(_logistic_regression_path)
      110    0.001    0.000    0.010    0.000 _metadata_requests.py:1359(__init_subclass__)
        2    0.000    0.000    0.010    0.005 format.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _distribution_infrastructure.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _new_distributions.py:1(<module>)
      143    0.001    0.000    0.010    0.000 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.010    0.010 _fitpack_py.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _distribution_infrastructure.py:1256(_combine_docs)
        1    0.000    0.000    0.010    0.010 _root.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _json.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _passive_aggressive.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.010    0.010 reusable_executor.py:1(<module>)
      270    0.001    0.000    0.010    0.000 _decorators.py:363(decorator)
     1986    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      110    0.001    0.000    0.009    0.000 _metadata_requests.py:1435(_get_default_requests)
       50    0.000    0.000    0.009    0.000 dataclasses.py:1204(dataclass)
        1    0.000    0.000    0.009    0.009 process_executor.py:1(<module>)
        1    0.000    0.000    0.009    0.009 distance.py:1(<module>)
        1    0.000    0.000    0.009    0.009 parse_link_label.py:1(<module>)
       53    0.000    0.000    0.009    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.009    0.009 _minimize.py:53(minimize)
        1    0.000    0.000    0.009    0.009 algorithms.py:1(<module>)
       21    0.000    0.000    0.009    0.000 _distn_infrastructure.py:3292(__init__)
        1    0.000    0.000    0.009    0.009 _lbfgsb_py.py:290(_minimize_lbfgsb)
     2137    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.009    0.009 describe.py:1(<module>)
        2    0.000    0.000    0.009    0.005 _misc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _stochastic_gradient.py:1(<module>)
        1    0.000    0.000    0.009    0.009 series.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _svdp.py:1(<module>)
      132    0.001    0.000    0.009    0.000 _distn_infrastructure.py:740(_construct_argparser)
        2    0.000    0.000    0.009    0.004 _filters.py:1(<module>)
        1    0.000    0.000    0.009    0.009 syntax.py:1(<module>)
     2775    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:392(cached)
      156    0.005    0.000    0.008    0.000 inspect.py:863(cleandoc)
        1    0.000    0.000    0.008    0.008 ewm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _ode.py:1(<module>)
      143    0.000    0.000    0.008    0.000 _decorators.py:484(__call__)
        1    0.000    0.000    0.008    0.008 qmc.py:1(<module>)
      169    0.000    0.000    0.008    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.008    0.008 _minpack_py.py:1(<module>)
     1886    0.003    0.000    0.008    0.000 _docscrape.py:67(read_to_condition)
     1493    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _qmc.py:1(<module>)
        1    0.000    0.000    0.008    0.008 glm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _rgi.py:1(<module>)
      219    0.001    0.000    0.008    0.000 enum.py:242(__set_name__)
        2    0.000    0.000    0.007    0.004 _matfuncs.py:1(<module>)
        2    0.000    0.000    0.007    0.004 datetimelike.py:1(<module>)
     1100    0.001    0.000    0.007    0.000 _metadata_requests.py:1397(_build_request_for_signature)
        1    0.000    0.000    0.007    0.007 _multivariate.py:1(<module>)
        2    0.000    0.000    0.007    0.004 reduction.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _parallel_backends.py:1(<module>)
        8    0.000    0.000    0.007    0.001 common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 testing.py:1(<module>)
        2    0.000    0.000    0.007    0.003 align.py:1(<module>)
     1411    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
        1    0.000    0.000    0.007    0.007 arpack.py:1(<module>)
      132    0.000    0.000    0.007    0.000 _distn_infrastructure.py:726(_attach_argparser_methods)
        1    0.000    0.000    0.007    0.007 _fitpack_impl.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _logger.py:243(add)
      143    0.003    0.000    0.007    0.000 __init__.py:350(namedtuple)
    38/37    0.000    0.000    0.007    0.000 sysconfig.py:621(get_path)
    38/37    0.000    0.000    0.007    0.000 sysconfig.py:609(get_paths)
      111    0.000    0.000    0.007    0.000 _distn_infrastructure.py:1906(_attach_methods)
93925/93923    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    38/37    0.000    0.000    0.007    0.000 sysconfig.py:261(_expand_vars)
        1    0.000    0.000    0.007    0.007 _better_exceptions.py:143(__init__)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:169(_get_lib_dirs)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:173(<setcomp>)
