Thu May 15 19:52:35 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/dataset.prof

         497747 function calls (485104 primitive calls) in 0.507 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.003    0.000 typing.py:729(Literal)
        1    0.000    0.000    0.003    0.003 readers.py:1907(read)
     1377    0.000    0.000    0.003    0.000 typing.py:715(<genexpr>)
    15665    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.003    0.003 _handler.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _datetime.py:1(<module>)
       26    0.001    0.000    0.003    0.000 typing.py:2910(__new__)
        1    0.000    0.000    0.003    0.003 normalize_url.py:1(<module>)
        1    0.000    0.000    0.003    0.003 state_inline.py:1(<module>)
       82    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.003    0.003 events.py:1(<module>)
        1    0.000    0.000    0.003    0.003 themes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 types.py:1(<module>)
     7625    0.002    0.000    0.003    0.000 typing.py:1266(_is_dunder)
       40    0.000    0.000    0.003    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.003    0.003 _log_render.py:1(<module>)
      158    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
     6873    0.001    0.000    0.002    0.000 _parser.py:261(get)
        2    0.000    0.000    0.002    0.001 pickle.py:1(<module>)
      265    0.000    0.000    0.002    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.002    0.002 html_block.py:1(<module>)
     1671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      156    0.000    0.000    0.002    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.002    0.002 parser_core.py:1(<module>)
      872    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 objects.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 merge.py:1(<module>)
    31381    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       26    0.000    0.000    0.002    0.000 typing.py:2891(_make_nmtuple)
       13    0.000    0.000    0.002    0.000 enum.py:895(_convert_)
        2    0.000    0.000    0.002    0.001 text.py:1(<module>)
      760    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
     1348    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
        2    0.000    0.000    0.002    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 groupby.py:1(<module>)
        1    0.000    0.000    0.002    0.002 series.py:263(Series)
        1    0.000    0.000    0.002    0.002 hashing.py:1(<module>)
      167    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
      674    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.002    0.002 tarfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 color.py:1(<module>)
      211    0.000    0.000    0.002    0.000 typing.py:1595(copy_with)
        1    0.000    0.000    0.002    0.002 frame.py:694(__init__)
        1    0.000    0.000    0.002    0.002 construction.py:423(dict_to_mgr)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
        3    0.000    0.000    0.002    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _completion_classes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 theme.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 getpass.py:1(<module>)
       18    0.001    0.000    0.002    0.000 enum.py:1668(convert_class)
       46    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
       16    0.000    0.000    0.002    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
      423    0.000    0.000    0.002    0.000 typing.py:334(_remove_dups_flatten)
        1    0.000    0.000    0.002    0.002 _base.py:1435(ExcelFile)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
     9658    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     6826    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
    39/38    0.000    0.000    0.002    0.000 sysconfig.py:629(get_config_vars)
        1    0.000    0.000    0.002    0.002 numpy_.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _emoji_replace.py:1(<module>)
        1    0.000    0.000    0.002    0.002 engines.py:1(<module>)
    56/15    0.000    0.000    0.002    0.000 typing.py:1403(__getitem__)
     1884    0.000    0.000    0.002    0.000 typing.py:159(_type_convert)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
     1277    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        2    0.000    0.000    0.002    0.001 parser.py:1(<module>)
     1671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.002    0.002 dataset.py:39(preprocess_data)
      559    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
